numero_linha,nome_linha,url_linha,sentido,ordem_parada,latitude,longitude,endereco_geocodificado
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,23,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,24,-22.9582329,-42.9496116,"R. Cinqüenta e Sete - Inoã, Maricá - RJ, Brazil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,25,-22.9360535,-42.9057744,"Km 19 Rod. Amaral Peixoto, Rodovia Amaral Peixoto, Cajueiros, Itaipuaçu, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24931-605, Brasil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,26,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,27,-22.9063802,-42.9359923,"Rodovia Amaral Peixoto, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24943-255, Brasil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,29,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,30,-22.9331154,-42.88908900000001,"Rod. Amaral Peixoto, 6 - São José de Imbassai, Maricá - RJ, 24931-000, Brazil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,31,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01,Centro - Ponta Negra (Via Manoel Ribeiro),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01-Rio_de_Janeiro-322-1036555-13717938-0,Centro,32,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,20,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,24,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,25,-22.9582329,-42.9496116,"R. Cinqüenta e Sete - Inoã, Maricá - RJ, Brazil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,26,-22.9360535,-42.9057744,"Km 19 Rod. Amaral Peixoto, Rodovia Amaral Peixoto, Cajueiros, Itaipuaçu, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24931-605, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,27,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,28,-22.9063802,-42.9359923,"Rodovia Amaral Peixoto, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24943-255, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,30,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,31,-22.9331154,-42.88908900000001,"Rod. Amaral Peixoto, 6 - São José de Imbassai, Maricá - RJ, 24931-000, Brazil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,32,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E01A,Centro - Ponta Negra (Via Vale da Figueira),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e01a-Rio_de_Janeiro-322-1036555-139031889-0,Centro,33,-22.9033137,-42.9369153,"Rodovia Amaral Peixoto, SPAR, Inoã, Maricá, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24944-256, Brasil"
E02,Centro - Ponta Negra (Via Cordeirinho),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e02-Rio_de_Janeiro-322-1036555-13717939-0,Centro,6,-22.9725504,-42.9115822,"R. Cento e Quarenta e Cinco, 145 - Itaipuaçu, Maricá - RJ, 24942-395, Brazil"
E02,Centro - Ponta Negra (Via Cordeirinho),https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-e02-Rio_de_Janeiro-322-1036555-13717939-0,Centro,7,-22.9731312,-42.9171814,"R. Cento e Quarenta - Jardim Atlântico Leste, Maricá - RJ, 24934-010, Brazil"
